791113,120910,132055,141551
71293,35636,38814,43819
703834,3020,3409,3785
703842,4284,4056,4094
703869,8011,8247,8503
703877,5483,5949,6393
703885,1117,1406,1394
703893,1457,1455,1445
703907,12264,14292,18205
RS12,2013889,2031992,1931809
RS121,215916,214011,188087
80047,32999,32813,28929
800180,18389,19320,17411
800198,2500,2356,1952
800201,4842,4781,4016
800210,1278,1364,1219
800228,5990,4992,4331
80233,49311,48353,43101
802425,2477,2353,1852
802433,19311,19301,17866
802441,1456,1807,1482
802450,508,524,420
802468,5636,5213,4585
802476,9514,8992,7895
802484,10409,10163,9001
80306,37501,35582,30154
802948,3737,3469,2819
802956,2924,2913,2286
802964,2301,2120,1744
802972,2889,2847,2487
802999,5607,4991,4215
803006,1699,1646,1343
803014,10567,9940,8811
803022,4114,4118,3411
803049,3663,3538,3038
80381,96105,97263,85903
803855,2267,2172,1770
803863,1585,1388,1140
803871,4205,3920,3485
803880,5472,5263,4623
803898,2073,2201,1810
803901,1864,1830,1497
803910,5737,6012,5045
803928,1710,1710,1327
803936,605,566,411
803944,2806,2590,2011
803952,3292,3169,2746
803979,48993,51471,47623
803987,5131,4808,3987
803995,3795,3720,3282
804002,2138,2084,1720
804029,4432,4359,3426
RS122,328428,313937,293730
80039,26535,22954,20151
800066,3738,3431,3007
800074,6286,5820,5082
800082,4539,4111,3868
800104,1621,1344,1076
800112,2023,1727,1422
800139,1225,1171,966
800147,2973,2002,1772
800155,1634,1240,1131
800163,997,768,636
800171,1499,1340,1191
80098,23707,20367,17367
800732,974,837,682
800759,280,200,169
800767,11634,10675,9080
800775,1870,1568,1348
800783,1608,1017,818
800791,265,226,199
800805,1027,854,738
800813,1927,1446,1243
800821,350,287,262
800830,170,132,94
800848,1185,989,864
800856,1560,1361,1164
800864,799,729,666
800872,58,46,40
80128,58228,54369,52026
801038,316,250,238
801046,1584,1340,1270
801054,1328,1178,1148
801062,593,417,363
801089,36885,36623,36040
801097,156,91,37
801119,1338,1267,1094
801127,790,575,500
801135,2004,1728,1472
801143,459,281,251
801151,1082,806,748
801160,499,379,283
801178,161,120,89
801186,570,329,255
801194,347,227,198
801208,570,420,382
801216,1999,2237,2195
801224,518,444,376
801232,390,311,272
801259,808,509,549
801267,291,170,133
801275,1107,693,531
801283,3961,3598,3269
801291,472,376,333
80217,30469,27890,25274
802239,5734,5325,4913
802247,1308,1198,974
802255,7426,6764,6259
802263,6076,5760,5531
802271,260,243,200
802280,1438,1247,1004
802298,3099,2498,2029
802301,5128,4855,4364
80225,38263,36802,33722
802310,6517,6106,5820
802328,3432,3302,2929
802336,3722,3498,2939
802344,1469,1283,1188
