Code,Opština,Autohtono,Doseljeno,Godina
70688,Kuršumlija,48.8160757711506,51.1839242288494,1991
70696,Kučevo,74.023869743914,25.976130256086,1991
70700,Lajkovac,58.9376390711474,41.0623609288526,1991
70718,Lebane,60.1918824719859,39.8081175280141,1991
70726,Leskovac,61.1364798941997,38.8635201058003,1991
70734,Loznica,57.3220026475038,42.6779973524962,1991
70742,Lučani,61.2717834631072,38.7282165368928,1991
70769,Ljig,61.0163040030451,38.9836959969549,1991
70777,Ljubovija,69.6055302573106,30.3944697426894,1991
70785,Majdanpek,62.0502601572014,37.9497398427986,1991
70793,Mali zvornik,61.6026711185309,38.3973288814691,1991
70807,Malo crniće,76.1149553007728,23.8850446992272,1991
70815,Medveđa,62.4572860505733,37.5427139494267,1991
70823,Merošina,66.2162988323042,33.7837011676958,1991
70831,Mionica,64.1159723432688,35.8840276567312,1991
70840,Negotin,68.9729674554703,31.0270325445297,1991
70858,Niš,48.4552692979164,51.5447307020836,1991
70866,Nova varoš,61.1627584293048,38.8372415706952,1991
70874,Novi pazar,61.0923922681326,38.9076077318674,1991
70882,Osečina,69.0596745027125,30.9403254972875,1991
70904,Paraćin,62.9594453414379,37.0405546585621,1991
70912,Petrovac,72.2893136403128,27.7106863596872,1991
70939,Pirot,54.564398731822,45.435601268178,1991
70947,Požarevac,53.9403906426895,46.0596093573106,1991
70955,Požega,56.8591515442855,43.1408484557145,1991
70963,Preševo,63.0152584832612,36.9847415167388,1991
70971,Priboj,55.9362393545495,44.0637606454505,1991
70980,Prijepolje,56.8180343119226,43.1819656880774,1991
70998,Prokuplje,55.7907034646544,44.2092965353456,1991
71005,Ražanj,66.0698365527489,33.9301634472511,1991
71013,Rača,61.0266666666667,38.9733333333333,1991
71021,Raška,51.8817298586511,48.118270141349,1991
71030,Rekovac,66.37634790852,33.62365209148,1991
71048,Jagodina (svetozarevo),53.0010970067388,46.9989029932613,1991
71056,Svilajnac,66.9803588233508,33.0196411766492,1991
71064,Svrljig,59.1920657958394,40.8079342041606,1991
71072,Sjenica,67.709980605699,32.2900193943011,1991
71099,Smederevo,54.9687647645546,45.0312352354454,1991
71102,Smedrevska palanka,61.1372807239697,38.8627192760303,1991
71129,Sokobanja,60.7880958941857,39.2119041058143,1991
71137,Surdulica,59.0959341604225,40.9040658395775,1991
71145,Užice,53.0044352633817,46.9955647366183,1991
71153,Topola,63.1064751900687,36.8935248099313,1991
71161,Trgovište,70.9031985345921,29.0968014654079,1991
71170,Trstenik,58.4281813016624,41.5718186983376,1991
71188,Tutin,65.0968885273525,34.9031114726475,1991
71196,Ćićevac,64.1616509028375,35.8383490971625,1991
71200,Ćuprija,59.4246368117681,40.5753631882319,1991
71218,Ub,61.2617614400094,38.7382385599907,1991
71226,Crna trava,75.6570215025219,24.3429784974781,1991
71234,Čajetina,65.0498296959758,34.9501703040242,1991
71242,Čačak,50.8276248330533,49.1723751669467,1991
71269,Šabac,53.1066794018839,46.8933205981161,1991
80012,Ada,68.3029986218695,31.6970013781305,1991
80039,Alibunar,62.5105793644687,37.4894206355313,1991
80047,Apatin,59.3142962191311,40.6857037808689,1991
80055,Bač,63.1638552780592,36.8361447219408,1991
80063,Bačka palanka,54.7739649062149,45.2260350937851,1991
80071,Bačka topola,59.0749561293557,40.9250438706443,1991
80080,Bački petrovac,68.4137931034483,31.5862068965517,1991
80098,Bela crkva,61.9310465676611,38.0689534323389,1991
80101,Beočin,52.8092214246273,47.1907785753727,1991
80110,Bečej,66.0072289156627,33.9927710843374,1991
80128,Vršac,56.4213033503214,43.5786966496786,1991
80136,Žabalj,56.3634211772132,43.6365788227868,1991
80144,Žitište,62.1543522717169,37.8456477282831,1991
80152,Zrenjanin,53.2010328292143,46.7989671707857,1991
80179,Inđija,49.2929671927397,50.7070328072603,1991
80187,Irig,56.7873303167421,43.2126696832579,1991
80195,Kanjiža,69.5016810359176,30.4983189640824,1991
80209,Kikinda,62.6395101402701,37.3604898597299,1991
80217,Kovačica,77.374812843121,22.6251871568791,1991
80225,Kovin,57.5,42.5,1991
80233,Kula,57.969960737063,42.030039262937,1991
80241,Mali iđoš,66.0232476224023,33.9767523775978,1991
80250,Nova crnja,64.4988150006971,35.5011849993029,1991
80268,Novi bečej,70.8599508599509,29.1400491400491,1991
80276,Novi kneževac,62.5294637595757,37.4705362404243,1991
80284,Novi sad,41.83350330095,58.16649669905,1991
80292,Opovo,63.1676853574276,36.8323146425724,1991
80306,Odžaci,51.2595069852743,48.7404930147257,1991
80314,Pančevo,48.6336229253112,51.3663770746888,1991
